Month,StTime,FinTime,Consumption
5,14:15,14:29,0.27
5,14:30,14:44,0.27
5,14:45,14:59,0.27
5,15:00,15:14,0.32
5,15:15,15:29,0.32
5,15:30,15:44,0.32
5,15:45,15:59,0.32
5,16:00,16:14,0.11
5,16:15,16:29,0.11
5,16:30,16:44,0.11
5,16:45,16:59,0.11
5,17:00,17:14,0.06
5,17:15,17:29,0.06
5,17:30,17:44,0.06
5,17:45,17:59,0.06
5,18:00,18:14,0.08
5,18:15,18:29,0.08
5,18:30,18:44,0.08
5,18:45,18:59,0.08
5,19:00,19:14,0.17
5,19:15,19:29,0.17
5,19:30,19:44,0.17
5,19:45,19:59,0.17
5,20:00,20:14,0.71
5,20:15,20:29,0.71
5,20:30,20:44,0.71
5,20:45,20:59,0.71
5,21:00,21:14,0.3
5,21:15,21:29,0.3
5,21:30,21:44,0.3
5,21:45,21:59,0.3
5,22:00,22:14,0.2
5,22:15,22:29,0.2
5,22:30,22:44,0.2
5,22:45,22:59,0.2
5,23:00,23:14,0.06
5,23:15,23:29,0.06
5,23:30,23:44,0.06
5,23:45,23:59,0.06
5,0:00,0:14,0.03
5,0:15,0:29,0.03
5,0:30,0:44,0.03
5,0:45,0:59,0.03
5,1:00,1:14,0.02
5,1:15,1:29,0.02
5,1:30,1:44,0.02
5,1:45,1:59,0.02
5,2:00,2:14,0.02
5,2:15,2:29,0.02
5,2:30,2:44,0.02
5,2:45,2:59,0.02
5,3:00,3:14,0.03
5,3:15,3:29,0.03
5,3:30,3:44,0.03
5,3:45,3:59,0.03
5,4:00,4:14,0.02
5,4:15,4:29,0.02
5,4:30,4:44,0.02
5,4:45,4:59,0.02
5,5:00,5:14,0.03
5,5:15,5:29,0.03
5,5:30,5:44,0.03
5,5:45,5:59,0.03
5,6:00,6:14,0.02
5,6:15,6:29,0.02
5,6:30,6:44,0.02
5,6:45,6:59,0.02
5,7:00,7:14,0.21
5,7:15,7:29,0.21
5,7:30,7:44,0.21
5,7:45,7:59,0.21
5,8:00,8:14,0.09
5,8:15,8:29,0.09
5,8:30,8:44,0.09
5,8:45,8:59,0.09
